Date,Open,High,Low,Close,Volume,Adj Close
10/02/2017,823.820007,828,822.849976,827.460022,2425800,827.460022
09/02/2017,821.599976,825,819.710022,821.359985,2468400,821.359985
08/02/2017,812.690002,821.47998,812.5,819.710022,2848300,819.710022
07/02/2017,809.309998,816.159973,807.5,812.5,3461500,812.5
06/02/2017,809.799988,810.719971,803,807.640015,3897300,807.640015
03/02/2017,806.719971,818.299988,804,810.200012,10868800,810.200012
02/02/2017,836.590027,842.48999,828.26001,839.950012,6541700,839.950012
01/02/2017,829.210022,833.780029,824.940002,832.349976,3797000,832.349976
31/01/2017,823.75,826.98999,819.559998,823.47998,3112600,823.47998
30/01/2017,833,833.5,816.380005,830.380005,3677100,830.380005
27/01/2017,839,839.700012,829.440002,835.77002,2992200,835.77002
26/01/2017,835.530029,843.840027,833,839.150024,3554700,839.150024
25/01/2017,825.789978,837.419983,825.289978,836.52002,3922600,836.52002
24/01/2017,822,823.98999,814.5,822.440002,2965900,822.440002
23/01/2017,806.799988,818.5,805.080017,817.880005,2680900,817.880005
20/01/2017,815.280029,816.02002,806.26001,808.330017,3338200,808.330017
19/01/2017,810,813.51001,807.320007,809.039978,2529100,809.039978
18/01/2017,809.5,811.72998,804.27002,807.47998,2354200,807.47998
17/01/2017,815.700012,816,803.440002,809.719971,3670500,809.719971
13/01/2017,814.320007,821.650024,811.400024,817.140015,3791900,817.140015
12/01/2017,800.309998,814.130005,799.5,813.640015,4873900,813.640015
11/01/2017,793.659973,799.5,789.51001,799.02002,2992800,799.02002
10/01/2017,796.599976,798,789.539978,795.900024,2558400,795.900024
09/01/2017,798,801.77002,791.77002,796.919983,3440100,796.919983
06/01/2017,782.359985,799.440002,778.47998,795.98999,5986200,795.98999
05/01/2017,761.549988,782.400024,760.26001,780.450012,5830100,780.450012
04/01/2017,758.390015,759.679993,754.200012,757.179993,2510500,757.179993
03/01/2017,757.919983,758.76001,747.700012,753.669983,3521100,753.669983
30/12/2016,766.469971,767.400024,748.280029,749.869995,4139400,749.869995
29/12/2016,772.400024,773.400024,760.849976,765.150024,3158300,765.150024
28/12/2016,776.25,780,770.5,772.130005,3301000,772.130005
27/12/2016,763.400024,774.650024,761.200012,771.400024,2638700,771.400024
23/12/2016,764.549988,766.5,757.98999,760.590027,1981600,760.590027
22/12/2016,768.119995,771.210022,763.02002,766.340027,2543600,766.340027
21/12/2016,770,771.219971,765.700012,770.599976,2044600,770.599976
20/12/2016,768.650024,774.390015,767.710022,771.219971,2703600,771.219971
19/12/2016,758.890015,770.5,756.159973,766,3113200,766
16/12/2016,765,765.130005,754,757.77002,4848200,757.77002
15/12/2016,766.280029,769.099976,760.309998,761,3801900,761
14/12/2016,778.25,780.859985,762.809998,768.820007,5454800,768.820007
13/12/2016,764.960022,782.460022,762,774.340027,5285300,774.340027
