h,Open,High,Low,Close,Volume,Adj Close
10/02/2017,177.369995,178.869995,176.759995,178.679993,2930700,178.679993
09/02/2017,176.169998,177.800003,175.910004,177.210007,3090700,177.210007
08/02/2017,177.5,177.5,175.880005,176.169998,2913100,176.169998
07/02/2017,176,178.619995,175.899994,178.460007,3873500,177.060012
06/02/2017,175.309998,175.979996,174.380005,175.860001,2650800,174.480403
03/02/2017,175,176.339996,174.889999,175.820007,3309300,174.440723
02/02/2017,174.229996,174.970001,173.550003,174.580002,2620500,173.210445
01/02/2017,175,175.699997,172.889999,174.289993,2795700,172.922712
31/01/2017,175.050003,175.580002,173.610001,174.520004,4139000,173.150918
30/01/2017,176.979996,177.070007,174.580002,175.800003,4094800,174.420876
27/01/2017,178.470001,179.199997,177.300003,177.300003,3482300,175.909108
26/01/2017,178.059998,178.880005,177.509995,178.660004,3063900,177.25844
25/01/2017,176.259995,179.25,176.130005,178.289993,5922500,176.891332
24/01/2017,171.360001,176,171.160004,175.899994,6952400,174.520082
23/01/2017,170.080002,171.25,170.009995,171.029999,5478200,169.688291
20/01/2017,167.809998,170.639999,166,170.550003,12690000,169.212061
19/01/2017,166.960007,167.449997,165.800003,166.809998,6963400,165.501396
18/01/2017,167.449997,168.589996,166.690002,166.800003,4007800,165.491479
17/01/2017,166.690002,168.179993,166.119995,167.889999,3315700,166.572925
13/01/2017,167.970001,168.479996,166.880005,167.339996,2875400,166.027237
12/01/2017,167.770004,168.009995,165.559998,167.949997,2927500,166.632452
11/01/2017,166.050003,167.759995,165.600006,167.75,3599500,166.434024
10/01/2017,167.979996,168.089996,165.339996,165.520004,4118700,164.221522
09/01/2017,169.470001,169.800003,167.619995,167.649994,3184700,166.334802
06/01/2017,168.690002,169.919998,167.520004,169.529999,2945500,168.200059
05/01/2017,169.25,169.389999,167.259995,168.699997,2682300,167.376568
04/01/2017,167.770004,169.869995,167.360001,169.259995,3381400,167.932173
03/01/2017,167,167.869995,166.009995,167.190002,2934300,165.878419
30/12/2016,166.440002,166.699997,165.5,165.990005,2952800,164.687836
29/12/2016,166.020004,166.990005,166,166.600006,1663500,165.293051
28/12/2016,167.289993,167.740005,166,166.190002,1757500,164.886264
27/12/2016,166.979996,167.979996,166.850006,167.139999,1397500,165.828809
23/12/2016,167,167.490005,166.449997,166.710007,1701200,165.402189
22/12/2016,167.360001,168.229996,166.580002,167.059998,2802600,165.749434
21/12/2016,166.25,167.940002,165.25,167.330002,3575700,166.017321
20/12/2016,167.490005,168.25,166.449997,167.600006,2174600,166.285207
19/12/2016,166.830002,167.259995,166,166.679993,2955900,165.372411
16/12/2016,168.970001,169.110001,166.059998,166.729996,7120600,165.422021
15/12/2016,168.009995,169.850006,167.779999,168.020004,3388600,166.70191
